AT1G27730	100	88	30	39	68	51	50	35	79	32	44	40	23	35	46	64	36	27	68	28	
AT5G51190	88	100	36	32	69	54	46	30	77	29	43	46	28	41	40	54	28	27	59	30	
AT1G07520	30	36	100	4	33	23	11	8	26	8	16	44	36	41	9	12	1	10	16	18	
AT1G12610	39	32	4	100	35	26	47	29	44	47	33	12	7	14	62	51	51	41	57	17	
AT1G18570	68	69	33	35	100	46	46	29	75	34	45	48	24	39	46	50	29	28	60	47	
AT1G19180	51	54	23	26	46	100	29	14	56	38	61	42	14	23	22	34	17	46	39	14	
AT1G19210	50	46	11	47	46	29	100	22	55	41	37	21	15	25	64	70	26	17	49	29	
AT1G22190	35	30	8	29	29	14	22	100	31	10	11	5	5	8	30	35	47	6	44	16	
AT1G28370	79	77	26	44	75	56	55	31	100	39	50	43	22	37	51	61	34	33	69	37	
AT1G30135	32	29	8	47	34	38	41	10	39	100	63	24	17	19	41	31	19	52	29	16	
AT1G32640	44	43	16	33	45	61	37	11	50	63	100	37	23	25	32	29	13	48	33	16	
AT1G34180	40	46	44	12	48	42	21	5	43	24	37	100	39	49	17	18	4	21	26	35	
AT1G42990	23	28	36	7	24	14	15	5	22	17	23	39	100	45	13	10	3	5	11	22	
AT1G67970	35	41	41	14	39	23	25	8	37	19	25	49	45	100	25	23	8	12	25	36	
AT1G71450	46	40	9	62	46	22	64	30	51	41	32	17	13	25	100	65	43	19	59	34	
AT1G74930	64	54	12	51	50	34	70	35	61	31	29	18	10	23	65	100	46	19	73	30	
AT1G77640	36	28	1	51	29	17	26	47	34	19	13	4	3	8	43	46	100	25	58	18	
AT1G78280	27	27	10	41	28	46	17	6	33	52	48	21	5	12	19	19	25	100	28	4	
AT1G80840	68	59	16	57	60	39	49	44	69	29	33	26	11	25	59	73	58	28	100	30	
AT2G23320	28	30	18	17	47	14	29	16	37	16	16	35	22	36	34	30	18	4	30	100	
